id_pergunta,pergunta,embedding_model,llm_name,llm_model,resposta_gerada,resposta_esperada,artigos_retrieved,artigos_relevantes,juris_retrieved,juris_relevantes,precision_lei,recall_lei,f1_lei,precision_juris,recall_juris,f1_juris,generation_time,num_docs_retrieved,num_docs_used
1,"Um motorista atropela um pedestre ao dirigir embriagado, causando sua morte. Como a embriaguez influencia na tipificação do crime?",neuralmind/bert-base-portuguese-cased,llama3_3b_q8,llama3:3b-instruct-q8_0,[ERRO] 404 Client Error: Not Found for url: http://localhost:11434/api/generate,"A embriaguez voluntária não exclui a imputabilidade penal (art. 28, II). Se houver dolo eventual (assumir o risco), pode ser homicídio doloso. Se houver negligência, será homicídio culposo qualificado pela embriaguez. A jurisprudência tem reconhecido dolo eventual em casos de embriaguez ao volante com resultado morte.",Art. 306 do CTB (Lei 9.503/1997);Lei 11.343/2006 - Art. 28,121;28;306,,,0.0,0.0,0.0,1.0,1.0,1.0,0.002687215805053711,5,2
2,Uma pessoa aplica golpe pela internet vendendo produtos inexistentes. Qual a diferença entre estelionato simples e qualificado neste caso?,neuralmind/bert-base-portuguese-cased,llama3_3b_q8,llama3:3b-instruct-q8_0,[ERRO] 404 Client Error: Not Found for url: http://localhost:11434/api/generate,"Estelionato está previsto no art. 171 (reclusão de 1 a 5 anos). Será qualificado se cometido contra idoso ou vulnerável (§3º), com pena aumentada de 1/3 a 2/3. O meio eletrônico não qualifica automaticamente, mas pode ser considerado na dosimetria da pena.",171;Lei 11.343/2006 - Art. 28,171,,,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.0012090206146240234,5,1
3,"Em uma briga, A agride B causando lesões leves, mas B morre dias depois por complicações. Como diferenciar lesão corporal seguida de morte e homicídio?",neuralmind/bert-base-portuguese-cased,llama3_3b_q8,llama3:3b-instruct-q8_0,[ERRO] 404 Client Error: Not Found for url: http://localhost:11434/api/generate,"Na lesão corporal seguida de morte (art. 129, §3º), o agente não quer nem assume o risco da morte - ela decorre de caso fortuito. No homicídio, há dolo (direto ou eventual). A distinção está na intenção: se quis apenas lesionar, é art. 129 §3º; se assumiu o risco da morte, é homicídio doloso (art. 121).",121;129,121;129,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0011925697326660156,5,1
4,"Policiais encontram drogas na casa de João, mas ele alega que apenas guardava para um amigo traficante. Quando caracteriza tráfico e quando caracteriza porte para consumo?",neuralmind/bert-base-portuguese-cased,llama3_3b_q8,llama3:3b-instruct-q8_0,[ERRO] 404 Client Error: Not Found for url: http://localhost:11434/api/generate,"Porte para consumo (art. 28) exige que a droga seja para uso pessoal, considerando natureza, quantidade, local e condições da apreensão. Tráfico (art. 33) inclui guardar ou ter em depósito para terceiros. Guardar droga de traficante, mesmo sem vender, configura tráfico. A jurisprudência analisa o caso concreto, mas a quantidade e finalidade são determinantes.",Art. 306 do CTB (Lei 9.503/1997);Lei 11.343/2006 - Art. 28,28;33,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0011928081512451172,5,1
5,"Maria compra um celular muito barato de um desconhecido na rua, desconfiando que seja roubado. Ela pode responder por receptação mesmo sem certeza da origem ilícita?",neuralmind/bert-base-portuguese-cased,llama3_3b_q8,llama3:3b-instruct-q8_0,[ERRO] 404 Client Error: Not Found for url: http://localhost:11434/api/generate,"Sim. A receptação pode ser dolosa (art. 180 caput - certeza) ou culposa (art. 180 §3º - deveria saber). Comprar produto muito abaixo do preço, de vendedor suspeito, configura receptação culposa. A jurisprudência considera as circunstâncias: preço, local, ausência de nota fiscal. A pena da receptação culposa é menor (detenção de 1 mês a 1 ano).",155;171,180,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0011341571807861328,5,1
6,Dois assaltantes rendem vítima com arma de brinquedo. O roubo é qualificado mesmo com arma falsa?,neuralmind/bert-base-portuguese-cased,llama3_3b_q8,llama3:3b-instruct-q8_0,[ERRO] 404 Client Error: Not Found for url: http://localhost:11434/api/generate,"Sim. A jurisprudência pacificou que o emprego de arma de brinquedo ou simulacro configura roubo qualificado (art. 157, §2º, I), pois a vítima acredita na ameaça real. O STJ entende que o que importa é a potencialidade lesiva aparente e a intimidação efetiva. Súmula 174 do STJ: arma desmuniciada também qualifica.",155;171,157,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0011181831359863281,5,1
7,"Pedro furta uma barra de chocolate de R$ 3,00 de um supermercado. Pode ser aplicado o princípio da insignificância?",neuralmind/bert-base-portuguese-cased,llama3_3b_q8,llama3:3b-instruct-q8_0,[ERRO] 404 Client Error: Not Found for url: http://localhost:11434/api/generate,"Possivelmente sim. O princípio da insignificância exclui a tipicidade material quando há: (1) mínima ofensividade da conduta, (2) ausência de periculosidade social, (3) reduzido grau de reprovabilidade, (4) inexpressividade da lesão. Furto de R$ 3,00, sem violência, de grande empresa, tende a ser considerado insignificante. Mas reincidência ou outras circunstâncias podem afastar o princípio.",Art. 306 do CTB (Lei 9.503/1997);Lei 11.343/2006 - Art. 28,155,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0012967586517333984,5,1
8,Qual a diferença prática entre homicídio qualificado privilegiado e homicídio simples na dosimetria da pena?,neuralmind/bert-base-portuguese-cased,llama3_3b_q8,llama3:3b-instruct-q8_0,[ERRO] 404 Client Error: Not Found for url: http://localhost:11434/api/generate,"Homicídio simples: reclusão de 6 a 20 anos (art. 121 caput). Privilegiado: redução de 1/6 a 1/3 (§1º - motivo relevante valor moral/social ou domínio de violenta emoção). Qualificado: reclusão de 12 a 30 anos (§2º). Quando há privilégio e qualificadora, prevalece a qualificadora, mas o privilégio reduz a pena. Resultado: pena entre 8 e 20 anos (12 a 30 reduzida de 1/6 a 1/3).",Art. 306 do CTB (Lei 9.503/1997);Lei 11.343/2006 - Art. 28,121,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0011696815490722656,5,3
9,Um traficante é preso com 50kg de cocaína. Quais são as causas de aumento de pena aplicáveis ao tráfico de drogas?,neuralmind/bert-base-portuguese-cased,llama3_3b_q8,llama3:3b-instruct-q8_0,[ERRO] 404 Client Error: Not Found for url: http://localhost:11434/api/generate,"Art. 40 da Lei 11.343/06 prevê aumento de 1/6 a 2/3 se: (I) tráfico transnacional ou interestadual; (II) envolver criança/adolescente; (III) financiado por organização criminosa; (IV) em transporte público, estabelecimento prisional, ensino ou saúde; (V) grande quantidade (caso dos 50kg). Podem ser cumuladas. A quantidade de 50kg certamente enseja aumento pelo inciso V.",Art. 306 do CTB (Lei 9.503/1997);Lei 11.343/2006 - Art. 28,33,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0011973381042480469,5,2
1,"Um motorista atropela um pedestre ao dirigir embriagado, causando sua morte. Como a embriaguez influencia na tipificação do crime?",neuralmind/bert-base-portuguese-cased,llama3_8b_q6,llama3:8b-instruct-q6_K,"**Explicação simples de termos jurídicos difíceis:**

Em direito penal, a embriaguez se refere à condição em que alguém está sob influência de álcool ou outra substância psicoativa que afete sua capacidade psicomotora. Isso significa que o indivíduo não tem controle sobre suas ações e reações.

**Resposta jurídica objetiva e fundamentada:**

A embriaguez ao volante, prevista no Art. 306 do Código de Trânsito Brasileiro (Lei 9.503/1997), é um crime que se caracteriza pela conduta de conduzir veículo automotor com capacidade psicomotora alterada em razão da influência de álcool ou outra substância psicoativa. Nesse caso, a embriaguez não influencia na tipificação do crime, pois o crime é previsto especificamente no Código de Trânsito Brasileiro e não no Código Penal.

**Fontes:**

[Fonte 1 – Art. 306 do CTB (Lei 9.503/1997)]","A embriaguez voluntária não exclui a imputabilidade penal (art. 28, II). Se houver dolo eventual (assumir o risco), pode ser homicídio doloso. Se houver negligência, será homicídio culposo qualificado pela embriaguez. A jurisprudência tem reconhecido dolo eventual em casos de embriaguez ao volante com resultado morte.",Art. 306 do CTB (Lei 9.503/1997);Lei 11.343/2006 - Art. 28,121;28;306,,,0.0,0.0,0.0,1.0,1.0,1.0,28.03415560722351,5,2
